reference_id,case_study_family,industry_tags,problem_tags,company_type_tags,sentence_type,exact_sentence,source_client_label,active
CS-RET-001,retail_reporting,"retail|wholesale","sales_data|stock_data|reporting|visibility","midmarket",proof_delivery,"We built reporting that brought sales and stock data into one management view instead of being spread across separate spreadsheets and systems.","Retail Client A",true
CS-RET-002,retail_reporting,"retail|wholesale","sales_data|stock_data|reporting|visibility","midmarket",proof_outcome,"That made weekly trading conversations faster because the team was working from one version of the numbers.","Retail Client A",true
CS-RET-003,retail_reporting,"retail|wholesale","sales_data|stock_data|reporting|visibility","midmarket",proof_context,"The work replaced spreadsheet-heavy reporting with a cleaner view for commercial and operational teams.","Retail Client A",true
CS-PBI-001,power_bi_delivery,"finance|professional_services|retail","reporting|dashboards|manual_reporting|visibility","midmarket",proof_delivery,"We built a Power BI reporting suite that gave the leadership team a clearer view across operational and commercial performance.","Client A",true
CS-PBI-002,power_bi_delivery,"finance|professional_services|retail","reporting|dashboards|manual_reporting|visibility","midmarket",proof_outcome,"That reduced the manual reporting burden and made regular decision-making faster.","Client A",true
CS-PBI-003,power_bi_delivery,"finance|professional_services|retail","reporting|dashboards|manual_reporting|visibility","midmarket",proof_context,"The reporting setup replaced spreadsheet-heavy reporting with a cleaner management view.","Client A",true
CS-CRM-001,crm_rebuild,"professional_services|finance|b2b_services","crm|pipeline|data_quality|sales_process","sme|midmarket",proof_delivery,"We rebuilt the CRM structure so the pipeline, core fields and reporting worked properly together instead of being patched around old process.","Client B",true
CS-CRM-002,crm_rebuild,"professional_services|finance|b2b_services","crm|pipeline|data_quality|sales_process","sme|midmarket",proof_outcome,"That made the CRM easier for the team to keep up to date and more useful for management reporting.","Client B",true
CS-CRM-003,crm_rebuild,"professional_services|finance|b2b_services","crm|pipeline|data_quality|sales_process","sme|midmarket",proof_context,"The main gain was not just cleaner data, but a setup people could actually use without workarounds.","Client B",true
CS-AUTO-001,internal_automation,"retail|finance|professional_services","manual_processes|admin|handoffs|automation","sme|midmarket",proof_delivery,"We automated a set of internal handoffs that had previously relied on people chasing updates across inboxes and spreadsheets.","Client C",true
CS-AUTO-002,internal_automation,"retail|finance|professional_services","manual_processes|admin|handoffs|automation","sme|midmarket",proof_outcome,"That cut down avoidable admin and made the process easier to track from start to finish.","Client C",true
CS-AUTO-003,internal_automation,"retail|finance|professional_services","manual_processes|admin|handoffs|automation","sme|midmarket",proof_context,"The work focused on practical automation rather than a big platform project.","Client C",true
CS-MKT-001,marketing_reporting,"retail|consumer|ecommerce","marketing_data|channel_performance|reporting","sme|midmarket",proof_delivery,"We built a reporting layer that brought marketing performance into one place instead of being rebuilt manually every week.","Client D",true
CS-MKT-002,marketing_reporting,"retail|consumer|ecommerce","marketing_data|channel_performance|reporting","sme|midmarket",proof_outcome,"That gave the team a faster read on what was working without spending so much time assembling the numbers.","Client D",true
CS-MKT-003,marketing_reporting,"retail|consumer|ecommerce","marketing_data|channel_performance|reporting","sme|midmarket",proof_context,"The improvement came from cleaner structure and more usable reporting, not just more charts.","Client D",true
CS-TEXT-001,comment_analysis,"retail|consumer|services","comments|feedback|text_analysis|sentiment","sme|midmarket",proof_delivery,"We helped structure comment and feedback data so recurring issues and themes were easier to review at scale.","Client E",true
CS-TEXT-002,comment_analysis,"retail|consumer|services","comments|feedback|text_analysis|sentiment","sme|midmarket",proof_outcome,"That turned a mass of free-text feedback into something the team could use in operational decisions.","Client E",true
CS-TEXT-003,comment_analysis,"retail|consumer|services","comments|feedback|text_analysis|sentiment","sme|midmarket",proof_context,"The value was in making messy comment data more usable rather than dressing it up as a complicated AI project.","Client E",true
